x0,y0,z0,alpha,beta,sigma,pow,xdim,ydim,dalpha,dbeta,sc,auc_tr,auc_ts,acc_tr,acc_ts
50.4754941889,822.898564892,9471.98751588,-0.0208620851098,-0.327884171852,100,2,32,32,1.0471975512,1.0471975512,:,0.857364583927,0.609439699793,0.766666666667,0.564
304.639179855,-26.7538839351,1709.09520452,-0.160868968467,0.0142499418519,50,2,32,32,1.0471975512,1.0471975512,:,0.651830096501,0.62646437488,0.606666666667,0.588
76.8579103821,734.645372213,11057.7744745,0.815929544093,1.47269412613,500,2,32,32,1.0471975512,1.0471975512,:,0.977521777778,0.814784,0.924,0.752
-961.533019125,-852.716608366,3981.38575003,1.27037654493,1.23471868114,50,2,32,32,1.0471975512,1.0471975512,:,0.686634666667,0.500608,0.636,0.48
-54.9916533242,1931.54820141,3377.97361636,0.229402211962,-1.44947359072,50,2,32,32,1.0471975512,1.0471975512,:,0.658202013881,0.519297235023,0.602666666667,0.52
274.83130323,-431.543269478,14563.9870068,-0.25264351545,0.385123085851,50,2,32,32,1.0471975512,1.0471975512,:,0.999509333333,0.898496,0.986666666667,0.836
-1081.45975994,-81.4089669896,3236.38800283,-0.902374732756,-0.0950376949517,500,2,32,32,1.0471975512,1.0471975512,:,0.70209285953,0.52499839959,0.66,0.548
686.982338626,-1114.05879312,8579.62907114,-0.298013045373,0.462136895681,75,2,32,32,1.0471975512,1.0471975512,:,0.811955965182,0.571593237705,0.697333333333,0.532
-1217.30992624,-219.927337106,9361.48616357,-0.852189538322,-0.203704066614,75,2,32,32,1.0471975512,1.0471975512,:,0.65215874214,0.589603992482,0.604,0.548
1335.26653058,-205.398987577,3829.86859519,1.50736395135,-1.17920369866,500,2,32,32,1.0471975512,1.0471975512,:,0.668481045082,0.587943901184,0.629333333333,0.58
-615.484431565,-1540.03462876,13056.1186426,-1.20180269602,-1.41746008432,100,2,32,32,1.0471975512,1.0471975512,:,0.682298523394,0.549049919485,0.616,0.54
472.505114737,262.292410278,8688.13492021,-0.40723578809,-0.235021178029,75,2,32,32,1.0471975512,1.0471975512,:,0.931508993625,0.560087493567,0.846666666667,0.544
-132.339693432,-998.446056848,5243.57975859,-0.182693285707,-0.948474866624,500,2,32,32,1.0471975512,1.0471975512,:,0.686327688442,0.546476325819,0.628,0.516
-229.167392389,-2089.69093019,476.631908997,0.35616143478,1.28413625686,10,2,32,32,1.0471975512,1.0471975512,:,0.735011129205,0.559183150887,0.669333333333,0.548
-792.3164571,1590.24762892,11335.789593,-0.734316755451,1.06647640575,50,2,32,32,1.0471975512,1.0471975512,:,0.608131364852,0.593045594262,0.569333333333,0.536
-86.6256393757,-815.348660481,648.547068185,-0.124807042825,-0.868140315734,100,2,32,32,1.0471975512,1.0471975512,:,0.653501255147,0.596824787146,0.590666666667,0.572
26.7027118424,1664.05353578,4945.9032666,-0.0619976922034,-1.31783655217,10,2,32,32,1.0471975512,1.0471975512,:,0.639466666667,0.532544,0.592,0.504
959.903415759,-44.8195283878,12549.7508987,1.16443682312,-0.10808431813,10,2,32,32,1.0471975512,1.0471975512,:,0.701951465912,0.546880020564,0.646666666667,0.552
804.72263273,409.559564199,5865.68556846,-0.274507155939,-0.142357844354,50,2,32,32,1.0471975512,1.0471975512,:,0.608333511157,0.561036628392,0.584,0.544
1192.35115341,693.177395193,8483.18757762,0.734435567126,0.48338874178,75,2,32,32,1.0471975512,1.0471975512,:,0.621232062948,0.560118244329,0.574666666667,0.48
-795.810275769,583.691847533,4466.8805711,0.523981884946,-0.400884128842,100,2,32,32,1.0471975512,1.0471975512,:,0.745846372688,0.549294871795,0.672,0.536
-1223.75905664,1043.3117653,11006.772368,1.53599236248,-1.52997899101,100,2,32,32,1.0471975512,1.0471975512,:,0.996884978913,0.904990710488,0.962666666667,0.832
-95.7420561651,-226.535206314,4726.61214432,0.0528113993945,0.124427177928,50,2,32,32,1.0471975512,1.0471975512,:,0.620170529295,0.572050444914,0.576,0.528
-908.134690909,-991.979517127,9754.02273869,0.370450183925,0.401225900016,500,2,32,32,1.0471975512,1.0471975512,:,0.91593061956,0.674692622951,0.832,0.644
1015.71533466,-734.286273826,7106.69836461,-0.383456507595,0.283775979036,10,2,32,32,1.0471975512,1.0471975512,:,0.617351149818,0.497748327329,0.512,0.464
-428.756494102,-169.253788869,8136.27759969,0.157605311672,0.0626536836252,50,2,32,32,1.0471975512,1.0471975512,:,0.684900722535,0.561859631148,0.646666666667,0.536
-72.8484661727,-817.683403542,14876.5999745,1.32192773371,1.54815879386,500,2,32,32,1.0471975512,1.0471975512,:,1.0,0.946723702119,0.997333333333,0.904
-898.631157605,-270.645159894,7658.32045838,-0.369482750603,-0.11611085042,50,2,32,32,1.0471975512,1.0471975512,:,0.76060830438,0.562888198758,0.698666666667,0.564
-2155.21401796,111.371196685,13520.0493152,-1.38717523356,0.271388154006,10,2,32,32,1.0471975512,1.0471975512,:,0.642727065786,0.548086800205,0.613333333333,0.52
1066.69843221,-510.18333699,11278.4899335,-0.445444565794,0.224505992928,75,2,32,32,1.0471975512,1.0471975512,:,0.999494981826,0.947462954648,0.977333333333,0.88
-777.636053072,-265.268239384,13326.4926207,-0.349066032077,-0.123525939573,75,2,32,32,1.0471975512,1.0471975512,:,0.999992888838,0.983742959549,0.997333333333,0.92
301.543918504,-1299.89370191,2321.45381203,-0.108068856913,0.437462786865,50,2,32,32,1.0471975512,1.0471975512,:,0.599338666667,0.484096,0.561333333333,0.5
-30.9714837459,5.39362705106,92.615616566,0.0116443382303,-0.0020279290085,50,2,32,32,1.0471975512,1.0471975512,:,0.714558092216,0.496497654392,0.666666666667,0.488
761.333157185,2155.5579228,10780.190864,0.282593124579,0.688075462166,100,2,32,32,1.0471975512,1.0471975512,:,0.66891507286,0.612068965517,0.628,0.592
-194.309807169,-1320.44282865,8412.58854533,0.729625780924,1.4076999632,75,2,32,32,1.0471975512,1.0471975512,:,0.734799027138,0.590932377049,0.64,0.556
-156.471177889,-345.328349097,7752.04601148,-0.28813287362,-0.579255648685,500,2,32,32,1.0471975512,1.0471975512,:,0.712089850557,0.601578035794,0.653333333333,0.576
480.038529018,-849.274519689,7098.27510501,0.615733506613,-0.896707633128,500,2,32,32,1.0471975512,1.0471975512,:,0.698543692774,0.510507036823,0.637333333333,0.52
-797.565306977,391.960263941,1118.04794806,0.559959280666,-0.298856664811,50,2,32,32,1.0471975512,1.0471975512,:,0.762701257325,0.609951331967,0.688,0.572
