X_filename,relevant_decay_count
03695701_0000422457,1
03695711_0000432730,0
03696086_0000828569,0
03695422_0000127915,2
03695965_0000700522,0
03695477_0000185783,0
03695497_0000207308,0
03695491_0000200781,0
03695497_0000206921,1
03695903_0000635167,1
03695716_0000438262,1
03695728_0000450535,0
03695447_0000154287,1
03695406_0000111231,1
03695763_0000487754,0
03695989_0000725853,1
03695423_0000129078,0
03695763_0000487648,1
03695600_0000315716,1
03695500_0000210096,0
03695509_0000219497,1
03695500_0000210202,1
03695547_0000259596,1
03695402_0000106792,1
03695431_0000137239,3
03695489_0000198942,2
03695778_0000503343,1
03695500_0000210307,0
03695559_0000272572,1
03695701_0000422174,0
03695431_0000137646,1
03695497_0000207146,0
03695781_0000506588,0
03695431_0000137320,1
03695559_0000272401,1
03695498_0000208175,3
03695761_0000485799,0
03695422_0000127672,0
03695509_0000219889,1
03695509_0000219543,0
03695716_0000437912,1
03695711_0000432944,1
03695461_0000168842,1
03696090_0000832507,0
03695412_0000117508,0
03695780_0000505780,0
03696086_0000828514,1
03695780_0000505492,0
03695477_0000185927,0
03695455_0000162691,0
03695497_0000207343,1
03695725_0000447484,1
03695427_0000133142,0
03695423_0000128864,0
03696062_0000802913,0
03695722_0000444514,1
03695461_0000169139,0
03695737_0000460171,0
03695475_0000184062,0
03695761_0000485720,1
03695701_0000422015,0
03696086_0000828212,1
03695454_0000161544,1
03696086_0000828284,4
03695722_0000444249,1
03695431_0000137209,0
03695491_0000200981,1
03695724_0000446472,1
03695718_0000440241,1
03695526_0000237597,0
03695701_0000422241,0
03695960_0000695386,0
03695477_0000185682,1
03695780_0000505506,1
03695416_0000121603,0
03695490_0000199767,2
03695488_0000197346,0
03695412_0000117410,0
03695715_0000436835,0
03695509_0000219794,2
03695600_0000315766,1
03695778_0000503466,0
03695795_0000521351,0
03695724_0000446559,2
03695488_0000197735,0
03695412_0000117446,1
03695711_0000432978,0
03695731_0000453781,1
03695854_0000583447,0
03695509_0000219680,1
03696062_0000803057,1
03695737_0000460082,1
03695429_0000135090,0
03695526_0000237702,1
03695712_0000433753,1
03695490_0000199518,1
03695509_0000219480,2
03695526_0000237657,1
03695439_0000145874,1
03695498_0000208226,0
03695763_0000487776,1
03696086_0000828205,1
03695439_0000146179,1
03695761_0000485308,3
03695903_0000635173,3
03695903_0000635406,1
03695989_0000725897,1
03695768_0000492931,0
03695439_0000146012,3
03695722_0000444205,4
03695447_0000154036,0
03695722_0000444573,2
03695731_0000453674,3
03696062_0000802874,0
03695509_0000219478,3
03695706_0000427433,0
03695780_0000505482,1
03695706_0000427429,1
03695989_0000725891,0
03695429_0000135066,0
03695416_0000121633,1
03695701_0000422181,1
03695725_0000447663,3
03695600_0000315784,0
03695461_0000168884,1
03696086_0000828295,1
03695724_0000446558,0
03695708_0000429614,1
03695600_0000315576,0
03695429_0000135249,1
03695893_0000624663,0
03695960_0000695411,0
03695498_0000207910,0
03695844_0000573194,1
03695903_0000635284,0
03695559_0000272234,1
03695724_0000446621,1
03695406_0000111144,1
03695431_0000137489,2
03695708_0000429485,0
03695780_0000505566,0
03695709_0000430525,0
03696062_0000802981,3
03695844_0000573139,0
03695716_0000438313,1
03695903_0000635145,0
03695903_0000635236,1
03695455_0000162698,2
03695768_0000492977,1
03696100_0000843048,0
03695491_0000200582,0
03695711_0000432552,0
03696100_0000842996,2
03695406_0000110911,1
03695716_0000438037,1
03695731_0000453762,0
03695989_0000726091,1
03695778_0000503572,0
03695724_0000446617,0
03695509_0000219505,1
03695429_0000135202,0
03695431_0000137501,2
03695439_0000145896,0
03695416_0000121595,0
03695488_0000197741,0
03695854_0000583517,2
03695402_0000106907,0
03695547_0000259870,0
03695500_0000210015,0
03695706_0000427569,0
03695427_0000133239,1
03695526_0000237747,1
03695701_0000422357,0
03695475_0000184086,1
03695781_0000506664,1
03695416_0000121396,1
03695447_0000154452,0
03695724_0000446645,2
03695447_0000154057,1
03695497_0000207348,0
03695500_0000210010,2
03695706_0000427423,0
03695716_0000437902,0
03695547_0000259774,0
03695455_0000162892,0
03695708_0000429565,0
03695500_0000210443,0
03695706_0000427422,0
03695728_0000450628,0
03695780_0000505615,3
03695804_0000530846,2
03695715_0000437033,1
03695491_0000200795,0
03695497_0000206796,1
03695406_0000111218,0
03695715_0000436954,2
03695844_0000573087,0
03695854_0000583759,0
03695490_0000199696,0
03695715_0000436789,0
03695562_0000275383,2
03695778_0000503248,0
03695728_0000450637,1
03695427_0000133323,1
03695761_0000485489,1
03695406_0000111136,1
03696100_0000842989,0
03695727_0000449600,1
03696100_0000843093,0
03695606_0000321949,0
03695477_0000185947,1
03695464_0000172253,0
03695509_0000219785,0
03695422_0000128191,0
03696062_0000803087,0
03696036_0000775531,0
03696086_0000828382,0
03695893_0000624730,1
03695461_0000168872,2
03696036_0000775479,0
03695475_0000183978,0
03695778_0000503441,0
03695768_0000492991,0
03695722_0000444256,2
03695781_0000506405,0
03695427_0000133358,1
03695423_0000129145,1
03695708_0000429441,1
03695497_0000206949,0
03695454_0000161787,0
03695844_0000573051,2
03695609_0000324949,0
03695903_0000635309,2
03695464_0000172204,1
03695701_0000422146,0
03695497_0000207069,2
03695798_0000524556,0
03695427_0000133104,0
03695706_0000427632,2
03695724_0000446615,0
03695423_0000129139,0
03695488_0000197892,2
03696100_0000842957,1
03695447_0000154187,0
03695489_0000198453,0
03695559_0000272376,1
03695903_0000635364,1
03695526_0000237673,0
03695488_0000197641,0
03695701_0000422351,0
03695489_0000198497,0
03696086_0000828371,0
03695727_0000449648,1
03695804_0000530745,2
03695559_0000272633,1
03695731_0000453698,1
03695439_0000145985,0
03695455_0000162643,1
03695475_0000184077,1
03695559_0000272607,0
03695718_0000440300,0
03695761_0000485346,0
03695406_0000111268,2
03695768_0000492935,5
03695712_0000433913,0
03696100_0000843065,0
03695489_0000199022,1
03696100_0000843232,1
03695431_0000137511,0
03695737_0000459988,2
03695500_0000210464,2
03695454_0000161644,0
03695402_0000106937,0
03695447_0000154477,1
03696086_0000828310,1
03695526_0000237746,0
03695706_0000427760,0
03695778_0000503304,0
03695491_0000200454,2
03695725_0000447586,0
03695722_0000444485,1
03695423_0000129119,1
03695731_0000453893,0
03695477_0000185872,2
03695427_0000133393,2
03695795_0000521348,0
03695701_0000422088,1
03695844_0000573175,0
03695416_0000121473,0
03695509_0000219855,0
03695609_0000324991,0
03695780_0000505408,0
03695427_0000133217,0
03695562_0000275721,0
03695716_0000437917,0
03695412_0000117197,0
03695454_0000161576,0
03695778_0000503715,0
03695423_0000128999,1
03695547_0000259914,2
03695416_0000121544,0
03695429_0000135400,0
03695709_0000430803,0
03695715_0000437140,0
03695488_0000197488,0
03695509_0000219552,2
03695475_0000183706,0
03695965_0000700699,0
03695454_0000161571,1
03696090_0000832734,0
03695447_0000154616,1
03695429_0000135549,0
03695965_0000700607,2
03695893_0000624723,1
03695427_0000133456,2
03695526_0000237454,1
03695498_0000208150,2
03695728_0000450614,1
03695716_0000438245,0
03695711_0000432626,0
03695798_0000524514,0
03695526_0000237796,1
03695715_0000436862,0
03695429_0000135480,1
03695497_0000206845,0
03695903_0000635240,3
03695509_0000219727,2
03695464_0000171982,0
03695844_0000573191,0
03695490_0000199582,1
03695429_0000135357,0
03695724_0000446404,0
03695715_0000437240,1
03695761_0000485613,0
03695844_0000573295,0
03696086_0000828594,0
03695778_0000503690,1
03695559_0000272550,1
03695718_0000440250,1
03695706_0000427725,2
03695431_0000137303,0
03695989_0000726174,0
03695781_0000506544,0
03695711_0000432980,1
03695849_0000578397,0
03695722_0000444306,2
03695500_0000210441,0
03695439_0000145998,0
03695844_0000573238,0
03695475_0000183739,0
03695498_0000208188,0
03695488_0000197732,0
03695761_0000485566,1
03695423_0000128830,1
03695737_0000460270,1
03695768_0000492852,0
03695497_0000207371,0
03695489_0000198599,0
03695600_0000315463,0
03695422_0000127814,1
03695781_0000506506,1
03695701_0000422471,1
03696090_0000832469,0
03695606_0000321878,0
03695715_0000437155,2
03695781_0000506472,0
03695761_0000485664,0
03695891_0000622644,1
03695509_0000219791,2
03695500_0000210280,0
03695716_0000438029,0
03695447_0000154129,1
03695412_0000117428,0
03695423_0000128717,0
03695960_0000695373,1
03695497_0000206994,1
03696086_0000828516,0
03695844_0000573108,1
03695718_0000440327,0
03695498_0000207853,0
03696086_0000828335,0
03695422_0000127914,1
03695712_0000433757,1
03696086_0000828450,2
03695422_0000127745,2
03695454_0000161738,1
03695422_0000128199,0
03695731_0000453714,1
03695708_0000429602,1
03695701_0000422163,1
03695489_0000198417,2
03695475_0000184120,3
03696090_0000832648,0
03695431_0000137256,0
03695431_0000137647,3
03696100_0000843090,1
03695725_0000447500,1
03695439_0000145974,1
03695731_0000453688,1
03695701_0000422324,0
03695498_0000208015,1
03695712_0000433730,0
03695716_0000437973,0
03695422_0000127983,0
03695498_0000207944,0
03695422_0000127748,0
03695844_0000573208,0
03695447_0000154058,1
03695728_0000450566,0
03695490_0000199503,1
03695600_0000315498,0
03695725_0000447561,2
03695989_0000726125,1
03695854_0000583482,0
03695509_0000219822,2
03695731_0000453891,1
03695439_0000145615,1
03695701_0000422053,0
03695722_0000444178,0
03695423_0000129068,1
03695989_0000726193,0
03695562_0000275773,3
03695454_0000161613,1
03695893_0000624637,0
03695406_0000110807,0
03695798_0000524394,1
03695475_0000183660,0
03695965_0000700729,0
03695778_0000503285,0
03695780_0000505479,1
03695716_0000438025,1
03695559_0000272639,0
03695488_0000197729,1
03695737_0000460079,2
03695722_0000444355,0
03695497_0000207268,0
03695461_0000169193,0
03695477_0000185973,0
03695497_0000206825,1
03695718_0000440313,2
03695722_0000444586,2
03695559_0000272399,1
03695431_0000137583,0
03696036_0000775606,0
03695488_0000197586,0
03695431_0000137250,0
03695712_0000433755,1
03695960_0000695317,0
03695728_0000450495,0
03696036_0000775602,1
03695768_0000492713,0
03695609_0000325098,2
03695903_0000635166,1
03695423_0000128740,1
03695427_0000133340,0
03695778_0000503352,0
03695725_0000447660,0
03695600_0000315730,1
03695429_0000135531,0
03695737_0000460027,1
03695427_0000133496,1
03695439_0000145741,1
03695500_0000210335,0
03695709_0000430589,2
03695454_0000161578,0
03695731_0000453964,2
03695795_0000521328,2
03695709_0000430790,1
03696036_0000775736,0
03695711_0000432896,0
03696036_0000775427,2
03695718_0000440179,0
03695763_0000487457,0
03695798_0000524495,0
03695477_0000186080,0
03696062_0000803226,0
03695903_0000635387,1
03695727_0000449501,1
03695960_0000695290,1
03696062_0000803015,1
03696036_0000775432,0
03695893_0000624704,1
03695798_0000524648,0
03695716_0000438107,0
03695711_0000433039,0
03695491_0000200478,0
03695706_0000427526,0
03695709_0000430863,2
03695989_0000725967,4
03695712_0000433831,1
03695731_0000453944,1
03695526_0000237620,2
03695600_0000315725,2
03695763_0000487699,0
03695547_0000259723,1
03695422_0000127930,2
03695477_0000185867,2
03695500_0000210343,0
03695780_0000505436,1
03695547_0000259622,2
03695728_0000450626,2
03695708_0000429623,0
03695447_0000154621,1
03695716_0000438241,0
03695491_0000200888,3
03695778_0000503444,1
03695708_0000429572,0
03695526_0000237507,2
03695429_0000135228,0
03695903_0000635464,0
03695716_0000438267,0
03695891_0000622766,0
03695490_0000199439,1
03696036_0000775462,1
03695402_0000107003,0
03695477_0000185806,0
03695454_0000161728,0
03695447_0000154519,0
03695798_0000524564,0
03695709_0000430455,1
03695709_0000430542,0
03695455_0000162616,0
03695724_0000446731,1
03695718_0000440122,1
03695903_0000635471,3
03695722_0000444400,1
03695497_0000207039,2
03696100_0000843079,0
03695804_0000530914,1
03695798_0000524581,1
03695447_0000154099,0
03695600_0000315541,0
03695761_0000485673,0
03696062_0000803103,0
03695455_0000162796,1
03695712_0000433673,1
03695489_0000198953,0
03695960_0000695451,2
03695547_0000259593,2
03695737_0000460189,1
03695447_0000154422,1
03695509_0000219664,0
03695464_0000172370,0
03695490_0000199629,1
03695489_0000199005,1
03695559_0000272613,0
03695447_0000154406,2
03695431_0000137235,0
03695562_0000275581,1
03695609_0000325044,0
03695725_0000447743,1
03695429_0000135335,0
03695780_0000505755,1
03695737_0000460024,2
03695447_0000154475,0
03695903_0000635351,1
03695488_0000197522,0
03695854_0000583713,2
03695711_0000432770,0
03695454_0000161475,2
03695727_0000449688,0
03695795_0000521409,0
03695795_0000521303,2
03695724_0000446307,0
03696090_0000832478,1
03695427_0000133081,0
03696062_0000803245,0
03696090_0000832552,4
03695412_0000117232,0
